,summary,link,article,title,time
22,NFL's top-two rushing teams facing each other in the playoffs. ,https://www.cbssports.com/nfl/news/ravens-at-titans-playoff-game-will-feature-something-the-nfl-postseason-hasnt-seen-in-32-years/,"It's not often you see the NFL's top-two rushing teams face each other in the playoffs, but that's exactly what will be happening on Sunday in Nashville when Tennessee hosts Baltimore for a wild-card game.

In an era where nearly every team in the NFL loves to throw the ball, the Ravens and Titans have gone against the grain and their throwback strategy means we're going to be getting a postseason rarity: This week's game will mark the first time in nearly 32 years that the NFL's top-two rushing teams have faced each other in the playoffs.

The last time it happened came in January 1989 when the Bengals and 49ers met up in Super Bowl XXIII. In that game, the 49ers and their No. 2 rushing offense narrowly beat a Bengals team that ranked No. 1 overall in rushing in 1988. Although the Bengals had the NFL MVP on their team that year in Boomer Esiason, they still managed to average 169.4 yards per game on the ground. As for the 49ers, their ground attack averaged 157.6 yards per game even though they had Joe Montana under center.

Neither team came anywhere close to their season average as the 49ers totaled 111 rushing yards while the Bengals ended with 106 yards in San Francisco's 20-16 Super Bowl win.

The Ravens-Titans game will mark the just the fourth time that the top-two rushing teams have met in the postseason since the AFL-NFL merger in 1970. Besides Super Bowl XXIII, there was also the 1972 AFC Championship that featured an undefeated Dolphins team (211.4 yards per game during the season) going up against the Steelers (180 yards per game). The other meeting came in the 1970 divisional round between the Cowboys (164.3) and Lions (151.9).

In the three previous meetings, the team that led the NFL in rushing yards has gone 2-1 with the Dolphins (21-17) and Cowboys (5-0) both winning. Also, that is not a typo, the Cowboys won a playoff game 5-0.

This year, Baltimore will be going into the postseason on the heels of winning the regular season rushing title. The Ravens averaged 191.9 yards per game on the ground this year, which led the NFL by more than 20 yards. The only team that even came close to matching them was the Titans, who finished second overall with an average of 168.1 yards per game (No other team in the NFL even averaged 150 yards). Not only did they rank one and two in rushing this year, they were also two of the three teams in the NFL that called more run plays than pass plays in 2020 (The Patriots were the other one).

Although they were the top-two teams in rushing yards, there was a stark difference in how they got there. The Titans are more a one-man show while the Ravens are more of a running back by committee. The Ravens had three players finish the year with more than 700 yards rushing, including Lamar Jackson, who ended the season with 1,005.

As for the Titans, Derrick Henry finished the season with 2,027 yards, which is the fifth-highest total in NFL history. Henry could continue to make history on Sunday: If he hits the 150-mark, he'll tie Terrell Davis for the most games in playoff history with at least 150 yards rushing.

The run game will be important to both teams, but it will probably be slightly more important to the Titans and that's because they went 2-3 this year in games where they got out-rushed by their opponent and 9-2 when they had more rushing yards. As for the Ravens, they went 3-2 when they got out-rushed and 8-3 when they had more yards on the ground than their opponent.

This game will mark the third time these two teams have faced each other over the past 12 months and not only did the Titans win both games, but they out-rushed the Ravens each time.",Ravens at Titans playoff game will feature something the NFL postseason hasn't seen in 32 years,2021-01-10 08:03:54
23,"Mets and Blue Jays
",https://bit.ly/38OMLeT,"The Mets and Blue Jays have long been considered the front-runners to land Astros free agent George Springer, and now, according to at least one report, they are the final two teams competing for the high-priced center fielder.

The New York Daily News' Deesha Thosar cited a source Wednesday that says Springer is expected to pick between those two finalists in January.

SAD TIMES: Josh Reddick has woo'ed his last 'Woo' with the Astros

SNY baseball reporter Andy Martino confirms that the Mets and Blue Jays are ""seriously interested"" in Springer, but that the Mets aren't as close to a deal as some have reported. Martino says the five-year, $125 million contract for Springer that has been floated is off and that Springer is asking for ""well over $150 million.""

MLB Network's Jon Heyman says the Mets and Blue Jays are engaged in a ""spirited derby"" for Springer as they bid against each other. He also says a deal could take a while as neither team has come close to Springer's asking price, but the Mets should be considered the favorite.

The Mets always have made the most sense as a Springer landing spot with new owner Steve Cohen looking to make a splash by opening up his wallet. Springer also grew up in New Britain, Conn., which is just about 100 miles from the Mets' Citi Field. Springer's wife Charlise grew up in upstate New York, also just about an hour-and-a-half drive from the Mets' home.

This is Springer's first chance to cash in on the free agent market. Before the 2020 season was shortened and salaries were prorated, Springer signed a one-year contract with the Astros worth $21 million. In November, Springer rejected the Astros' one-year, $18.9 million qualifying offer, which was a formality as the Astros had to offer that in order to receive draft compensation if he signs elsewhere.

If Springer signs with the Mets, it will be the second straight offseason an Astros free agent was lured from Houston by big money in New York. Last year, Astros pitcher Gerrit Cole signed with the Yankees for nine years and $324 million, the fourth-largest deal in baseball history.

The 31-year-old Springer will always be one of the faces of the Astros first championship. He was the 2017 World Series MVP, tying a record with five home runs in the seven game series. He homered in each of the final four games of that series against the Dodgers, setting a record for most consecutive games with a home run in the World Series.

Springer, who was the Astros' first-round pick in 2011, ranks fifth on the franchise's all-time home run list with 174 in seven seasons. His .491 career slugging percentage is sixth-best in Astros history.",Astros free agent George Springer reportedly down to two teams,2020-12-31 17:54:47
24,Picture in the comments. ,https://info.hockeyfeed.com/nhl-news/gruesome-picture-of-injured-team-canada-s-kirby-dach-is-revealed,"This is not the way it was supposed to go…



Team Canada captain Kirby Dach is out of the 2021 World Juniors after suffering a wrist injury in Wednesday’s pre-tournament game against Russia.

The Blackhawks talented prospect needs to head back to Chicago to undergo further examination by team doctors and a potential surgery for his gruesome injury.

We say gruesome because on Christmas morning, a picture of Dach’s dismantled wrist was revealed on social media, and it is simply not the Christmas present he was hoping for…

We warn you, this ain’t pretty…

The sad thing is that Dach appeared to get injured on a harmless bodycheck in the neutral zone in the third period of the preliminary game against Russia on Wednesday night.

Right after contact, the young captain pulled off his glove, skated off the ice and went directly to the locker-room area. He probably saw what you just did above…

Gross.

This is heartbreaking for Dach who was so excited to represent his country for the first time as he was not loaned to the team when the Canadians captured gold last year in the Czech Republic.

Now his season with the Hawks is also in jeopardy because of the injury.

It is more heartbreaking than his wrist is broken, believe us!",Gruesome picture of injured Team Canada’s Kirby Dach is revealed,2020-12-25 08:52:36
25,"$825,000 USD ",https://www.cbssports.com/nfl/news/marcus-mariota-earns-bonus-from-raiders-by-filling-in-for-the-injured-derek-carr-heres-how-much-he-made/,"Not since Nick Papagiorgio -- aka Rusty Griswold from the movie ""Vegas Vacation"" starring Chevy Chase -- has someone taken Las Vegas by storm and profited nearly $1 million in a single night like Marcus Mariota just did in the Week 15 opener. Against the Chargers on Thursday night, the Raiders quarterback was thrust into action in the first quarter after starter Derek Carr suffered a groin injury that sidelined him for the rest of the game. Because the injury happened with three full quarters to play, that opened the door for Mariota to not only see significant playing time but earn a serious raise in the process.

This offseason, Mariota inked a two-year, $17.6 million contract to join Las Vegas and back up Carr. As Field Yates of ESPN points out, there's an incentive to Maritoa's contact that if he plays more than 60% of the snaps in any game in 2020, he earns a crisp $200K. That payday could have reached $325K had the Raiders won, but Justin Herbert's goal-line plunge in overtime booted any chance of that extra $125K landing in Mariota's pocket.

Don't feel too bad for him though as his base salary for 2021 has now increased by $625K thanks to playing in more than 60% of their offensive snaps in this matchup as well. That means, Mariota made around $825K for his efforts against Los Angeles. Not too shabby for a Thursday night out in Vegas.

Despite being on the losing end, Mariota was extremely impressive and nearly had the Raiders pulling out the win. The former No. 2 overall pick completed over 60% of his throws for 226 yards, a touchdown, and an interception. He also rushed for a game-high 88 yards and added another score with his legs. While a lot may be made about this quick cash-grab against Los Angeles following Carr's injury, this performance could even lead to a bigger payout if some quarterback-needy team this offseason sees Mariota as a potential starter for them in 2021. At that point, it'd be safe to say he's on a heater.",Marcus Mariota earns bonus from Raiders by filling in for the injured Derek Carr; here's how much he made,2020-12-18 08:13:00
26,"Cleveland Citizens
",https://fansided.com/2020/12/14/mlb-patent-cleveland-new-team-name/?a_aid=40030,"4 banger fights we might never get to see now that Yoel Romero is with Bellator

4 banger fights we might never get to see now that Yoel Romero is with Bellator by Chad Porto

MLB might’ve tipped their hand at the Cleveland baseball team’s new team name, via the U.S. Patent and Trademark office.

A New York Times report late Sunday revealed that the “Cleveland Indians” moniker would be no more. That was confirmed on Monday afternoon by team owner Paul Dolan, who said that the organization would part ways with the team name after 105 years following discussions with Native American groups. However, the change won’t take place until after the 2021 season at the earliest.

Some names that have been floated around are the Cleveland Spiders and the Rockers. However, the MLB might’ve tipped their hand on the team’s newest nickname. That name is the “Cleveland Citizens,” which appears to be registered by the league in the U.S. Patent and Trademark Office.

not sure how much to read into this if at all, but ""Cleveland Citizens"" appears to be a trademark registered by MLB under the US Patent & Trademark Office (h/t @matt07555207) https://t.co/1vrGXk7e2T — Ben Nicholson-Smith (@bnicholsonsmith) December 14, 2020

Cleveland Citizens Baseball club filing on August 17, 2020https://t.co/k2IYxL44yO pic.twitter.com/ONWzEi15Qm — Justin L. (@JL_Baseball) December 14, 2020

Greendale Human Beings https://t.co/nBOrFMaKSU — Mark Powell (@mp2_pgh) December 14, 2020

Citizens a potential name for the Cleveland baseball team

When looking at the name, the trademark was filed on Aug. 17, 2020. While the league appears to have filed the trademark, that doesn’t necessarily mean that it will ultimately be the new name. Rather, it would be more of a move to prevent someone else from filling out an application at the U.S. Patent and Trademark Office, so the league won’t have to negotiate a deal.

Momentum for Cleveland changing their name arrived after the Washington Football Team distanced themselves from their former insensitive moniker back in July. The Football Team name was initially used as a placeholder, but team president Jason Wright told ESPN that it was in the running to become the permanent name.

On Opening Day for the 2020 season, the Cleveland baseball team wore their navy blue road jerseys which had the city name on the front to support the name change.

Creating a new name for a sports team does take time, because they have to file trademarks for the name and the logo. It’s a lengthy process, but Dolan confirmed that they’re heading in the right direction and moving on from their previous moniker.",Did MLB just hint at Cleveland’s new team name?,2020-12-15 12:50:32
27,“I have no interest in coaching.” ,https://thespun.com/nfl/afc-east/new-york-jets/bill-cowher-jets-coaching-interest,"Bill Cowher was linked to the potential New York Jets head coaching opening earlier this week.

The Jets are expected to fire head coach Adam Gase following the season (or before it ends). New York has yet to win a game this season and is on track to get the No. 1 overall pick in the 2021 NFL Draft.

While it’s been a disappointing season for the Jets, the head coaching vacancy could be an attractive one.

New York has some young talent and is expected to add generational quarterback prospect Trevor Lawrence in the NFL Draft. The Jets could attract some big names to their soon-to-be-vacant coaching position.

Cowher, who led the Pittsburgh Steelers to a Super Bowl, was linked to the job this week. However, he’s made it clear that he won’t be returning to the sideline.

“I have no interest in coaching,” Cowher told ESPN.

Cowher added that he has no interest in coaching and won’t discuss any jobs.

“I have too much respect for the coaching profession to talk about a job that isn’t open,” he said. “From that perspective, any job that is open, I have no interest in coaching.”

Mindsets can change, of course, but it doesn’t appear that Cowher will be a candidate for the New York Jets’ vacancy.",Bill Cowher Announces Decision On His Coaching Future,2020-12-13 07:53:26
28,January 15th ,https://info.hockeyfeed.com/nhl-news/new-projected-start-date-for-2021-season-revealed,"Friday is a good day. And this Friday is even better than that!



Earlier this morning, TSN Senior Hockey Reporter Frank Seravalli reported that the National Hockey League has shared draft schedules with the NHLPA on Thursday, including a 56-game season outline.

While Seravalli pointed out that the schedules were all based on a Jan. 1 start date, the two sides had discussed pushing that date back until later in the month.

And now his colleague insider Pierre LeBrun reveals that the plan is now to see the 2021 season get underway on Jan. 15, which could allow teams to get training camps going after the Christmas break.

A Jan. 15 start is now being discussed, source says, really no choice given that Jan 1 doesn’t seem realistic at this point. Economic issues still unresolved but both sides keep talking about other issues around season planning. As Frank says below, some positive vibes https://t.co/0uMf6FViG2 — Pierre LeBrun (@PierreVLeBrun) December 4, 2020

Elliotte Friedman also confirms the report on Friday morning.

Latest details as far as I know https://t.co/fZgeON6uEi — Elliotte Friedman (@FriedgeHNIC) December 4, 2020

For the past weeks, it sounded like the NHL was refusing to stray from its original goal of starting the season on Jan. 1, despite the fact that this projected date is just a month away and the format has yet to be determined. However, this new development sounds like a positive one despite the fact that the start date is getting pushed.

Now, we all know, many more details need to be ironed out. Players aren’t happy about too many things, especially that the NHL has reportedly asked for players to defer 20% of their salaries while escrow increases to 25%. And this despite the fact that both sides agreed to a new six-year collective bargaining agreement before the league’s return to play over the summer that accounted for the expected financial repercussions of the COVID-19 pandemic. The union agreed to 10% salary deferrals with escrow capping at 20%. That money was agreed to be paid in three equal, interest-free instalments in October 2022, 2023, 2024.

NHL commissioner Gary Bettman insisted Wednesday that the NHL is “not seeking to renegotiate” the six-year Collective Bargaining Agreement extension that was unanimously ratified by owners in July.

“We’re not actually having negotiations and we’re not seeking to renegotiate,” Bettman said. “We made a number of assumptions collectively over the summer, most of which are not applicable anymore.



“Whatever the revenues are, the players only get 50 per cent. And if we overpay them and they don’t pay us back in the short term, they have to pay us back over time. There will be stresses on the system, and we’ve had discussions about what those stresses are, and how they might be dealt with. But we’re not trying to say ‘You must do X, Y and Z.’ We’re trying to look for ways to continue to work together.”

It has since been reported that players are weighing options to sue the NHL if it chooses to cancel the 2021 season. However, at the moment, this sounds like pretty good news to see puck drop in early 2021, possibly Jan. 15th.",New projected start date for 2021 season revealed!,2020-12-04 09:00:04
29,Matthew Stafford. The quote came from an unnamed coach. ,https://www.knbr.com/2020/11/30/would-win-super-bowl-coach-believes-49ers-should-trade-for-veteran-quarterback/,"

© Kirby Lee | 2020 Nov 29

For those hoping the 49ers move on from Jimmy Garoppolo this offseason, an intriguing possibility became more likely this week.

The Detroit Lions axed much maligned head coach Matt Patricia after another disappointing loss on Thanksgiving. With the Lions essentially bottoming out this season, a full rebuild is on the horizon, and now discussions are ongoing around the league regarding what the Lions should do with veteran quarterback Matt Stafford, who will be 33 before the 2021 season.

According to one NFL offensive coach, the 49ers should trade for him if he’s made available.

“They would win a Super Bowl,” an offensive coach said via Mike Sando of The Athletic. “Stafford would be in a real organization finally. He would bend to Shanahan and that offense because there is such a history of success with that system. And Stafford would know he’s not going to get hit in the head all the time like in Detroit.”

Imagining Stafford as the 49ers’ QB is all well and good, but acquiring him wouldn’t necessarily be all that easy. First off, Stafford has a cap hit of $34 million next season and nearly $28 million in 2022. That’s more than the $26.4 million and $27 million that Garoppolo is owed in the next two seasons, and would likely hinder the 49ers’ ability to re-sign a few of their many upcoming free agents that includes Trent Williams and nearly the entire secondary.

It all depends on what the Lions want in return and how much the 49ers value a quarterback nearing the end of his prime. Stafford’s arm talent is fairly undeniable, and he’s still putting up numbers (261.5 yards per game, 18 touchdowns to 8 picks, 92.7 rating) on a very questionable Lions team.

Sure the 49ers as currently constructed with Stafford could be Super Bowl hopefuls, but would what they lose in bringing on Stafford keep them in that conversation?",‘They would win a Super Bowl’: Coach believes 49ers should trade for veteran quarterback,2020-12-01 16:05:05
30,Picture in the comments. ,https://nesn.com/2020/11/cam-newton-busts-out-gunslinger-look-with-epic-patriots-gameday-outfit/,"NESN Logo Sign In

If you thought Cam Newton couldn’t top the outfit he were last Sunday, you were wrong.

The Patriots quarterback showed up to Gillette Stadium on Sunday wearing a gunslinger-styled outfit reminiscent of what Clint Eastwood wore in “The Good, the Bad and the Ugly.” Honestly, it might have been his best gameday outfit of the 2020 NFL season.

Take a look:

So, will Newton and the New England offense come out guns-a-blazing in Sunday’s game against the Arizona Cardinals? They’ll need to if they want to earn a win against a tough opponent.",Cam Newton Busts Out Gunslinger Look With Epic Patriots Gameday Outfit,2020-11-29 08:21:09
31,Tre Jones ,https://www.prosportsdaily.com/articles/mike-krzyzewski-reveals-best-pg-in-2020-draft-and-its-not-lamelo-ball-659533.html?fbclid=IwAR1MjeCoaC5XRDQF3esvvcLtVgLW8KaM9xoSefUegeipNniP2QEE0pOrC94,"Duke Head Coach Mike Krzyzewski reveals best PG in 2020 Draft, and it’s not LaMelo Ball

The NBA has welcomed plenty of amazing point guards from the draft in recent years. While this year’s crop is not considered as deep as the previous ones, most pundits believe that LaMelo Ball has the brightest future at that position.

Duke Blue Devils legendary head coach Mike Krzyzewski, however, completely disagrees with the public consensus and made a case why his point guard Tre Jones is a much safer bet than the controversial Ball. Coach K appeared on NBA TV and gushed over what makes the 6-foot-2 guard a truly special talent for teams looking for a floor general.

“I’d take Tre in a heartbeat. I think he’s the best point guard in the draft. He’s another guy that can come in and play right away. If you want to run, there’s nobody better in passing ahead than him. When I first saw him when we recruited Tyus, I watched Tre play quarterback for a 7th-8th grade team. He was magical out there. He ran and threw,” Coach K added.",Duke Head Coach Mike Krzyzewski reveals best,2020-11-14 06:22:52
32,One man’s mistake is another man’s claim to an NL MVP vote. Thanks Rick! Honored by the vote. 😂 ,https://www.nbcsports.com/chicago/cubs/cubs-ryan-tepera-honored-his-accidental-2020-nl-mvp-vote?fbclid=IwAR3VknkpThHIdEoBsLxPsFdFgL2r8DbgysRr2G3gdTVmGzODw7d6BmbXvZY,"When life gives you lemons, you make lemonade.

When a Hall of Fame baseball writer accidentally votes for you on their MVP ballot, you don't question it.

Cubs reliever Ryan Tepera received one 10th-place vote for 2020 National League MVP due to an accidental click by Rick Hummel of the St. Louis Post-Dispatch. Hummel told NBC Sports Chicago's Gordon Wittenmyer he meant to vote for Nationals shortstop Trea Turner.

Friday, Tepera tweeted a perfect response to the vote, which is sure to be the answer to a trivia question one day.

One manâs mistake is another manâs claim to an NL MVP vote. Thanks Rick! Honored by the vote. ð https://t.co/wsqJpbHpcN — Ryan Tepera (@RTepera) November 13, 2020

Kudos to Tepera for having fun with this. He's got a point, too, seeing as his resumé officially shows he finished 18th in the 2020 NL MVP race.

Baseball Reference Ryan Tepera's Baseball Reference page

No take backs, right?",Cubs' Ryan Tepera 'honored' by his accidental 2020 NL MVP vote,2020-11-13 12:39:43
33,"Fewest rushing attempts in a game (5)
",https://www.cbssports.com/nfl/news/buccaneers-break-87-year-old-nfl-record-for-rushing-futility-during-embarrassing-38-3-loss-to-saints/?fbclid=IwAR2EjNxsT60gaRTfykLo1tDankdKM4y47Ol3iPa_Hu_vGis0jbw7SkZskvk,"The NFL has existed for more than 100 years and in that time, no team had ever done what the Tampa Bay Buccaneers did on Sunday. During the Buccaneers' 38-3 loss to the Saints, Tampa Bay somehow only managed five rushing attempts, which set the NFL record for fewest rushing attempts in a game.

To say Tampa Bay gave up on the run would definitely be an understatement, because it was worse than that. It was almost like the Bucs forgot the run existed. After calling two run plays in the first quarter, they would only call two for the rest of the game. The crazy thing is that Tampa Bay was on track to finish the game with just four rushing attempts, but it ended up reaching five because Blaine Gabbert's kneel down on the final play of the game counted as a rushing attempt.

Here's what the box score looked like for the Bucs at the end of the game:

Ronald Jones: Three carries for 9 yards.

Leonard Fournette: One carry for 0 yards.

Blaine Gabbert: One carry for -1 yard.

If you're scoring at home, that's five carries for 8 yards. Before Sunday, the NFL record for fewest carries in a game was six and that had actually been done four times. In a twist of fate, Tom Brady was also involved in one of those games.

Craving even more NFL coverage focusing on previews, recaps, news and analysis? Listen below and subscribe to the Pick Six podcast for a daily dose of everything you need to follow pro football.

Here's a quick look at the the four games that previously held the record. The Chicago Cardinals first set the record in 1933 and then it stood for 87 years.

Chicago Cardinals vs. Boston Redskins, Oct. 22, 1933: The Cardinals couldn't get anything going in this game as they totaled just six carries in a 10-0 loss to Boston. Final score: Boston 10-0 over Chicago.

The Cardinals couldn't get anything going in this game as they totaled just six carries in a 10-0 loss to Boston. Boston 10-0 over Chicago. New England Patriots vs. Pittsburgh Steelers Oct. 31, 2004: The Patriots had to abandon the run early in this game after falling behind 24-3 in the first half. Brady ended up throwing 43 passes in a game where the Patriots rushed just six times for five yards. The Patriots were 6-0 going into this game, but fell to 6-1 after losing to the Steelers. The Patriots' leading rusher was Kevin Faulk, who had five carries for 4 yards. Final score: Steelers 34-20 over Patriots.

The Patriots had to abandon the run early in this game after falling behind 24-3 in the first half. Brady ended up throwing 43 passes in a game where the Patriots rushed just six times for five yards. The Patriots were 6-0 going into this game, but fell to 6-1 after losing to the Steelers. The Patriots' leading rusher was Kevin Faulk, who had five carries for 4 yards. Steelers 34-20 over Patriots. Arizona Cardinals at Minnesota Vikings, Nov. 26, 2006: Letting Matt Leinart throw the ball 51 times is never a good idea, but that's exactly what the Cardinals did in this game. Unlike the other three games, the Cardinals actually kept this game close for the most part, they just didn't want to run the ball. Their leading rusher was Edgerrin James, who carried the ball four times for 15 yards. As a team, the Cards rushed six times for 17 yards. Final score: Vikings 31-26 over Cardinals.

Letting Matt Leinart throw the ball 51 times is never a good idea, but that's exactly what the Cardinals did in this game. Unlike the other three games, the Cardinals actually kept this game close for the most part, they just didn't want to run the ball. Their leading rusher was Edgerrin James, who carried the ball four times for 15 yards. As a team, the Cards rushed six times for 17 yards. Vikings 31-26 over Cardinals. Minnesota Vikings vs. Buffalo Bills, Sept. 23, 2018: This ended up being one of the biggest upsets in NFL history as the 16.5-point underdog Bills would shock the Vikings. In this game, Minnesota gave up on the run after Buffalo jumped out to a 27-0 lead in the first half. The Vikings' leading rusher in this game was Mike Boone, who carried the ball two times for 11 yards. As a team, the Vikings finished with six carries for 14 yards. Final score: Bills 27-6 over Vikings.

Like the Buccaneers, all four of these teams lost. As far as rushing attempts go, the magic number seems to be nine. If you don't hit that number, then you have no chance of winning in the NFL. Since the AFL-NFL merger in 1970, there have been 20 games where a team had eight carries or less and those 20 teams have gone 0-20.

The Buccaneers game got so ugly that Tampa Bay only called ONE run play in the entire second half. For a breakdown of everything that happened in Tampa Bay's blowout loss, be sure to click here.",Buccaneers break 87-year-old NFL record for rushing futility during embarrassing 38-3 loss to Saints,2020-11-09 11:57:49
34,Pittsburgh Steelers ,https://www.cbssports.com/nfl/news/this-is-the-most-hated-team-in-the-nfl-according-to-a-recent-twitter-study/?fbclid=IwAR2suhHERIwYZoUSjJCJwX9ptP_5_AX4wxTvdjtS5u6BWmiNfn8akXzm0rc,"Depending on your fandom, there's one team you cannot stand -- the team you always root against no matter who they're playing, a team you wish infinite losses on. Usually this team is someone in the division of your favorite team, though often it can be a club that beat yours in a big game.

While every fanbase in the NFL has their own rival, it seems hating one team in particular brings most fans together: the Pittsburgh Steelers.

SportsInsider used data from over 90,000 tweets to come to the conclusion that NFL fans hate the Steelers more than any other team.

Anyone who has watched a game between the Steelers and Cincinnati Bengals or Cleveland Browns (from any year), knows those teams do not get along, but clearly it goes beyond just the AFC North.

They study found the Steelers were the most ""hated"" team in a total of eight states, which marked the most in the league. According to the data, Tennessee, Kentucky, Ohio, Indiana, Maryland, Delaware, Connecticut and Rhode Island are where people who tweet ""I hate the Steelers"" are mostly located.

Pennsylvania, home of the Steelers, hates the Baltimore Ravens the most.

Pittsburgh is currently the only undefeated team in the league, making them even more hateable. The Steelers will head to Baltimore to play the Ravens on Sunday.","This is the most hated team in the NFL, according to a recent Twitter study",2020-10-30 12:49:49
35,"Because of the Canada-U.S. border restrictions, the Raptors might play in Louisville next season.
",https://www.bballrumors.com/2020/10/report-toronto-raptors-are-relocating.html?m=1&fbclid=IwAR2ABnTQWX7RCmMlxLpz7_l5rJG2d-hWILKceCix1JJGZPlu0XKhbcTcTnk,"The Toronto Raptors are the NBA's lone Canadian team and next season that may 'change'. The team is considering all their options at the moment and with the border restrictions between the US and Canada, the team may have no choice but to play the entire season in the United States.

While the Raptors fan base is likely the most passionate in the league, the team may not have the option of playing in front of them. So....where to go?

Introducing the Louisville Raptors!!!!

It doesn't have quite the ring to it, but the Raptors likely don't care, they just want to play. The KFC Yum! Center is a capable host and according to reports, is the likely landing spot for next season.

We will have to wait and see what restrictions are still in place when the NBA season starts in 2021, but with Toronto continuing to be a hot spot for Covid and with the Toronto Blue Jays baseball team recently having to play all their home games in Buffalo, there's potential this sticks.

Next season for the Raps - gonna be finger licking good!

The Raptors will potentially play their home games in Louisville next season, per @VinceGoodwill



Travel to Canada from the United States has been banned due to their handling of the COVID-19 pandemic.



The KFC Yum! Center in Kentucky is NBA-ready. pic.twitter.com/N8DlPgYyc0 — Top Ball Coverage (@TopBallCoverage) October 21, 2020

Photo credit: NurPhoto/Zuma Press/Icon Sportswire",Report: The Toronto Raptors Are Relocating Next Season,2020-10-22 15:48:25
36,"The team president said they'll likely be the Washington Football Team next season.
",https://www.kron4.com/sports/looks-like-washington-football-team-has-chosen-its-new-name/?fbclid=IwAR2VqH6f90V2nPSDDOckqrLEQfjpo7vrKduOiMXD306w8O-zXqvCRmS30PM,"WASHINGTON (KRON) – It looks like the Washington Football Team has chosen a name for the next season – The Washington Football Team.

“There’s a pretty good chance we will be the Washington Football Team next season,” team president Jason Wright told WJLA Tuesday.

Back in July, owner Dan Snyder dropped the name amid pressure from sponsors and after decades of criticism from Native American advocacy groups. The franchise that began in Boston in 1932 had the name Redskins since 1933.

“I think next year is fast because of how the brand has to come together through uniforms, through approval processes through the league,” Wright told WJLA.",Looks like The Washington Football Team has chosen new name,2020-10-22 05:45:14
37,"$100,000 USD each ",https://www.cbssports.com/nfl/news/nfl-hits-pete-carroll-vic-fangio-and-kyle-shanahan-with-big-fines-for-not-wearing-masks-on-sunday-per-report/,"Pete Carroll, Vic Fangio and Kyle Shanahan have been fined $100,000 for not wearing masks during their team's games this past Sunday, according to ESPN's Adam Schefter. The Seahawks, Broncos and 49ers were fined an additional $250,000. The three fines added up to $1.05 million.

The fines came a week after Troy Vincent, the NFL's executive VP of football operations, sent a strongly worded memo to all 32 teams reminding them of the importance of wearing face covering during games. The memo also stated that future discipline could be enforced to coaches who don't comply with the league's rules. This season, any non-player in the ""bench area,"" which is defined as each sideline between the 30-yard lines, is required to wear a mask at all times.

""We must remain vigilant and disciplined in following the processes and protocols put in place by not only the league, union and clubs, but also by state and local governments,"" the memo read. ""Failure to adhere to this requirement will result in accountability measures being imposed against offending individuals and/or clubs ... Becoming careless or ignoring face covering and physical distancing requirements will put the 2020 season at risk.""

While he was not fined on Monday, Rams coach Sean McVay said that he did hear from the league following his team's Week 1 win over the Cowboys. McVay told reporters that he figured that the league's memo ""was directed at me.""

""I've got to do a better job about that,"" McVay said with regard to wearing a mask during games. ""So moving forward there will be a conscious effort to do that.""

Given the severity of Monday's fines, it's safe to say that coaches will put an added emphasis on wearing masks moving forward.","NFL hits Pete Carroll, Vic Fangio and Kyle Shanahan with big fines for not wearing masks on Sunday, per report",2020-09-21 19:22:21
